_id,SiteAddress,District,Ward,Status
366,760 GERRARD ST E  ,Toronto and East York,14,In Progress
367,77 HARVARD AVE   ,Toronto and East York,04,Active
368,780 COXWELL AVE   ,Toronto and East York,14,
369,784 PAPE AVE   ,Toronto and East York,14,Active
370,8 TEMPLE AVE   ,Toronto and East York,04,Inactive
371,80 WOODLAWN AVE E  ,Toronto and East York,11,In Progress
372,83 SPADINA RD   ,Toronto and East York,11,Inactive
373,86 D'ARCY ST   ,Toronto and East York,11,Active
374,87 PEMBROKE ST   ,Toronto and East York,13,Inactive
375,879 BROADVIEW AVE   ,Toronto and East York,14,Active
376,9 ALBANY AVE   ,Toronto and East York,11,In Progress
377,9 HARVARD AVE   ,Toronto and East York,04,Active
378,9 HOMEWOOD AVE   ,Toronto and East York,13,Active
379,9 LAXTON AVE   ,Toronto and East York,04,Inactive
380,90 A GRENADIER RD   ,Toronto and East York,04,Active
381,91 PEMBROKE ST   ,Toronto and East York,13,In Progress
382,93 SPADINA RD   ,Toronto and East York,11,Active
383,93 WEST LODGE AVE   ,Toronto and East York,04,Active
384,930 DUNDAS ST E  ,Toronto and East York,14,In Progress
385,935 QUEEN ST W  ,Toronto and East York,10,Active
386,94 COWAN AVE   ,Toronto and East York,04,Inactive
387,94 PEMBROKE ST   ,Toronto and East York,13,Active
388,96 DOWLING AVE   ,Toronto and East York,04,Inactive
389,96 PEMBROKE ST   ,Toronto and East York,13,Inactive
390,964 BATHURST ST   ,Toronto and East York,11,In Progress
391,97 SPADINA RD   ,Toronto and East York,11,Active
392,99 O'HARA AVE   ,Toronto and East York,04,Active
393,998 ST CLAIR AVE W  ,Toronto and East York,09,Active
